               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.014444,           0.0047047,            0.002044,             0.96738,             0.98591,             0.98161,             0.89169,            0.010904,           0.0033419,           0.0013903,            0.004753,            0.004753,            0.004753
                  55,             0.01392,           0.0047378,           0.0018547,             0.96272,             0.98196,             0.98432,             0.90967,             0.01064,           0.0032102,           0.0013356,            0.004654,            0.004654,            0.004654
                  56,             0.01375,           0.0047434,           0.0019506,             0.95362,             0.98438,             0.98339,             0.91068,            0.010227,           0.0035068,           0.0013502,            0.004555,            0.004555,            0.004555
                  57,            0.013675,           0.0046458,           0.0017525,             0.95332,             0.99091,             0.97982,             0.90517,           0.0099733,           0.0033019,           0.0012957,            0.004456,            0.004456,            0.004456
                  58,            0.013613,           0.0044088,           0.0018095,             0.95311,             0.98457,             0.98239,             0.90618,           0.0096496,           0.0032221,           0.0012599,            0.004357,            0.004357,            0.004357
                  59,            0.013355,           0.0044711,           0.0020789,             0.95034,             0.97848,              0.9793,              0.9192,           0.0092554,           0.0031844,           0.0013041,            0.004258,            0.004258,            0.004258
                  60,            0.013129,           0.0044939,           0.0019246,             0.95652,             0.97659,             0.98504,             0.91539,           0.0094761,            0.003123,           0.0012674,            0.004159,            0.004159,            0.004159
                  61,            0.012931,            0.004456,            0.001941,             0.94112,             0.98485,             0.98315,             0.92122,           0.0094937,           0.0032168,           0.0012007,             0.00406,             0.00406,             0.00406
                  62,            0.013126,           0.0045358,           0.0017511,             0.95968,             0.97017,             0.97525,             0.90024,           0.0092813,           0.0032146,           0.0011711,            0.003961,            0.003961,            0.003961
                  63,            0.012419,           0.0041874,           0.0016097,             0.96043,             0.96592,             0.98189,             0.92635,           0.0088318,           0.0031717,           0.0012231,            0.003862,            0.003862,            0.003862
                  64,            0.012355,           0.0044729,           0.0016602,               0.961,             0.97273,             0.98128,             0.92575,           0.0087576,           0.0031745,           0.0011342,            0.003763,            0.003763,            0.003763
                  65,            0.011981,           0.0041065,           0.0015497,             0.95475,             0.96558,             0.97989,             0.92819,           0.0088456,           0.0031253,           0.0011174,            0.003664,            0.003664,            0.003664
                  66,            0.011868,           0.0041022,           0.0015773,             0.95843,             0.97273,             0.97663,             0.92565,           0.0088353,           0.0032242,           0.0010543,            0.003565,            0.003565,            0.003565
                  67,            0.011709,           0.0040602,           0.0016077,              0.9576,             0.97273,             0.97916,             0.93512,           0.0085993,           0.0031475,           0.0010695,            0.003466,            0.003466,            0.003466
                  68,            0.011637,           0.0042288,           0.0015678,             0.95155,             0.99091,             0.97974,             0.92193,           0.0084913,           0.0030851,            0.001047,            0.003367,            0.003367,            0.003367
                  69,            0.011306,           0.0037753,           0.0016092,             0.95474,             0.97273,             0.97776,             0.94388,           0.0082863,           0.0030859,           0.0010738,            0.003268,            0.003268,            0.003268
